         34153 function calls (33321 primitive calls) in 11.228 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:46(modify_to_add)
        2    0.000    0.000    0.000    0.000 {built-in method addLayout}
       18    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method toPlainText}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:139(get_price)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:133(get_year)
        3    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:69(set_parent_window)
        1    0.000    0.000    0.000    0.000 {built-in method setLayout}
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\database\database.py:160(<listcomp>)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\order_placement.py:31(get_address)
        2    0.000    0.000    0.000    0.000 {built-in method setItemText}
        1    0.000    0.000    0.000    0.000 {built-in method setValidator}
        7    0.000    0.000    0.000    0.000 {built-in method setSpacing}
        2    0.000    0.000    0.000    0.000 {built-in method isChecked}
        1    0.000    0.000    0.000    0.000 {built-in method setFrameShadow}
        6    0.000    0.000    0.000    0.000 {built-in method setPlaceholderText}
        3    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:108(on_add_clothes)
        1    0.000    0.000    0.000    0.000 {built-in method setFont}
        3    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\cart.py:36(addOnAddCallback)
        5    0.000    0.000    0.000    0.000 {built-in method setGeometry}
        2    0.000    0.000    0.000    0.000 {built-in method setTabText}
        1    0.000    0.000    0.000    0.000 {built-in method currentIndex}
        5    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:66(set_last_window)
        5    0.000    0.000    0.000    0.000 {built-in method setWidgetResizable}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\order_placement.py:38(get_phone)
        2    0.000    0.000    0.000    0.000 {built-in method setMinimumWidth}
        2    0.000    0.000    0.000    0.000 {built-in method indexOf}
        1    0.000    0.000    0.000    0.000 {built-in method setFrameShape}
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:130(get_brand)
        1    0.000    0.000    0.000    0.000 {built-in method setContentsMargins}
        3    0.000    0.000    0.000    0.000 {built-in method minimum}
        1    0.000    0.000    0.000    0.000 {built-in method setHorizontalSpacing}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:116(hide_buttons)
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\order_placement.py:25(set_total_price)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method setMaximum}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\main_view.py:54(set_user_id)
        2    0.000    0.000    0.000    0.000 {built-in method setSizeConstraint}
        2    0.000    0.000    0.000    0.000 {built-in method setStretch}
        3    0.000    0.000    0.000    0.000 {built-in method setMinimumHeight}
        3    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\cart.py:39(addOnRemoveCallback)
        4    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\order_details_view.py:23(set_parent_window)
        1    0.000    0.000    0.000    0.000 {built-in method setCurrentIndex}
        1    0.000    0.000    0.000    0.000 {built-in method setVerticalSpacing}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\cart_view.py:81(set_user_id)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:54(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\cart.py:42(addOnUpdateCallback)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\authorization.py:26(validate_inputs)
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\order_placement.py:28(set_user_id)
